DATE,BAMLCC0A0CMTRIV
7/20/2018,2833.71
7/23/2018,2823.01
7/24/2018,2830.86
7/25/2018,2835.04
7/26/2018,2831.74
7/27/2018,2836.38
7/30/2018,2835.12
7/31/2018,2839.77
8/1/2018,2833.24
8/2/2018,2836.08
8/3/2018,2843.21
8/6/2018,2847.61
8/7/2018,2842.35
8/8/2018,2840.97
8/9/2018,2844.67
8/10/2018,2853.46
8/13/2018,2847.67
8/14/2018,2846.02
8/15/2018,2852.75
8/16/2018,2852.06
8/17/2018,2852.81
8/20/2018,2862.66
8/21/2018,2859.52
8/22/2018,2861.35
8/23/2018,2861.81
8/24/2018,2860.83
8/27/2018,2858.2
8/28/2018,2852.7
8/29/2018,2853.61
8/30/2018,2855.94
8/31/2018,2855.22
9/3/2018,2856.16
9/4/2018,2845.29
9/5/2018,2845.5
9/6/2018,2851.2
9/7/2018,2841.06
9/10/2018,2844.24
9/11/2018,2838.93
9/12/2018,2843.52
9/13/2018,2846.07
9/14/2018,2842.83
9/17/2018,2843.64
9/18/2018,2835.36
9/19/2018,2829.96
9/20/2018,2835.82
9/21/2018,2838.39
9/24/2018,2837.17
9/25/2018,2834.56
9/26/2018,2842.07
9/27/2018,2844.47
9/28/2018,2845.3
9/30/2018,2845.93
10/1/2018,2841.2
10/2/2018,2846.85
10/3/2018,2830.88
10/4/2018,2822.84
10/5/2018,2814.96
10/8/2018,2815.92
10/9/2018,2820.45
10/10/2018,2817.39
10/11/2018,2827.12
10/12/2018,2825.92
10/15/2018,2823.23
10/16/2018,2824.88
10/17/2018,2820.02
10/18/2018,2819.26
10/19/2018,2813.91
10/22/2018,2814.04
10/23/2018,2814.09
10/24/2018,2822.38
10/25/2018,2816.47
10/26/2018,2822.34
10/29/2018,2821.76
10/30/2018,2813.86
10/31/2018,2807.48
11/1/2018,2808.7
11/2/2018,2798.8
11/5/2018,2803.04
11/6/2018,2804.96
11/7/2018,2808.11
11/8/2018,2806.27
11/9/2018,2811.39
11/12/2018,2812.35
11/13/2018,2812.81
11/14/2018,2810.29
11/15/2018,2802.84
11/16/2018,2808.63
11/19/2018,2808.61
11/20/2018,2804.83
11/21/2018,2804.9
11/22/2018,2805.22
11/23/2018,2806.26
11/26/2018,2805.62
11/27/2018,2803.71
11/28/2018,2802.8
11/29/2018,2801.84
11/30/2018,2802.12
12/3/2018,2810.39
12/4/2018,2819.57
12/5/2018,2819.89
12/6/2018,2820.17
12/7/2018,2823.24
12/10/2018,2822.54
12/11/2018,2822.36
12/12/2018,2823.33
12/13/2018,2825.48
12/14/2018,2829.25
12/17/2018,2836.37
12/18/2018,2841.89
12/19/2018,2850.51
12/20/2018,2842
12/21/2018,2837.81
12/24/2018,2843.55
12/25/2018,.
12/26/2018,2834.39
12/27/2018,2839.53
12/28/2018,2837.54
12/31/2018,2844.18
1/1/2019,.
1/2/2019,2849.22
1/3/2019,2863.31
1/4/2019,2847.57
1/7/2019,2849.03
1/8/2019,2848.17
1/9/2019,2851.02
1/10/2019,2849.53
1/11/2019,2855.49
1/14/2019,2852.56
1/15/2019,2852.72
1/16/2019,2853.89
1/17/2019,2855.09
1/18/2019,2856.56
1/21/2019,2857.53
1/22/2019,2868.35
1/23/2019,2868.54
1/24/2019,2878.31
1/25/2019,2875.78
1/28/2019,2878.72
1/29/2019,2884.96
1/30/2019,2888.22
1/31/2019,2903.72
2/1/2019,2900.19
2/4/2019,2898.78
2/5/2019,2907.14
2/6/2019,2907.81
2/7/2019,2912.81
2/8/2019,2916.36
2/11/2019,2913.1
2/12/2019,2910.37
2/13/2019,2908.45
2/14/2019,2913.99
2/15/2019,2915.42
2/18/2019,2916.39
2/19/2019,2919.3
2/20/2019,2917.6
2/21/2019,2910.02
2/22/2019,2917.04
2/25/2019,2917.47
2/26/2019,2923.54
2/27/2019,2914.23
2/28/2019,2914.16
3/1/2019,2909.41
3/4/2019,2916.88
3/5/2019,2917.28
3/6/2019,2921.17
3/7/2019,2929.86
3/8/2019,2930.66
3/11/2019,2929.15
3/12/2019,2938.49
3/13/2019,2936.99
3/14/2019,2933.23
3/15/2019,2940.49
3/18/2019,2942.38
3/19/2019,2941.13
3/20/2019,2952.6
3/21/2019,2956.05
3/22/2019,2972.67
3/25/2019,2979.95
3/26/2019,2982.25
3/27/2019,2990.35
3/28/2019,2989.22
3/29/2019,2986.39
3/31/2019,2986.72
4/1/2019,2974.6
4/2/2019,2977.83
4/3/2019,2973.05
4/4/2019,2975.78
4/5/2019,2980.06
4/8/2019,2979.04
4/9/2019,2984.6
4/10/2019,2989.77
4/11/2019,2987.26
4/12/2019,2983.68
4/15/2019,2987.62
4/16/2019,2982.56
4/17/2019,2983.99
4/18/2019,2989.72
4/19/2019,.
4/22/2019,2983.64
4/23/2019,2988.12
4/24/2019,2997.56
4/25/2019,2996.2
4/26/2019,3002.99
4/29/2019,2997.85
4/30/2019,3003.35
5/1/2019,3004.59
5/2/2019,2994.52
5/3/2019,2998.85
5/6/2019,3003.38
5/7/2019,3011.18
5/8/2019,3003.91
5/9/2019,3004.62
5/10/2019,3004.27
5/13/2019,3009.94
5/14/2019,3007.86
5/15/2019,3015.06
5/16/2019,3012.13
5/17/2019,3014.25
5/20/2019,3010.48
5/21/2019,3008.2
5/22/2019,3012.66
5/23/2019,3025.61
5/24/2019,3019.79
5/27/2019,3020.78
5/28/2019,3029.37
5/29/2019,3030.14
5/30/2019,3034.85
5/31/2019,3046.43
6/3/2019,3056.37
6/4/2019,3049.02
6/5/2019,3049.25
6/6/2019,3050.25
6/7/2019,3060.71
6/10/2019,3054.9
6/11/2019,3057.32
6/12/2019,3058.43
6/13/2019,3065.55
6/14/2019,3065.33
6/17/2019,3068.76
6/18/2019,3077.54
6/19/2019,3086.57
6/20/2019,3098.42
6/21/2019,3091.32
6/24/2019,3106.3
6/25/2019,3108.48
6/26/2019,3100.57
6/27/2019,3111.85
6/28/2019,3115.84
6/30/2019,3116.5
7/1/2019,3113.58
7/2/2019,3126.16
7/3/2019,3133
7/4/2019,3133.33
7/5/2019,3115.72
7/8/2019,3119.4
7/9/2019,3114.2
7/10/2019,3112.35
7/11/2019,3101.86
7/12/2019,3105.18
7/15/2019,3109.77
7/16/2019,3104.59
7/17/2019,3116.33
7/18/2019,3119.96
7/19/2019,3119.61
7/22/2019,3123.32
7/23/2019,3119.55
7/24/2019,3126.89
7/25/2019,3124.16
7/26/2019,3125.04
7/29/2019,3131.25
7/30/2019,3128.62
7/31/2019,3136.92
8/1/2019,3158.5
8/2/2019,3161.46
8/5/2019,3176.06
8/6/2019,3175.28
8/7/2019,3184.15
8/8/2019,3179.46
8/9/2019,3177.55
8/12/2019,3197.24
8/13/2019,3190.06
8/14/2019,3205.3
8/15/2019,3213.88
8/16/2019,3212.19
8/19/2019,3200.64
8/20/2019,3211.85
8/21/2019,3212.54
8/22/2019,3207.21
8/23/2019,3225.09
8/26/2019,3221.15
8/27/2019,3234.37
8/28/2019,3238.2
8/29/2019,3229
8/30/2019,3232.08
8/31/2019,3232.16
9/2/2019,3232.83
9/3/2019,3238.01
9/4/2019,3239.11
9/5/2019,3217.85
9/6/2019,3224.31
9/9/2019,3210.37
9/10/2019,3192.09
9/11/2019,3187.34
9/12/2019,3178.15
9/13/2019,3157.24
9/16/2019,3171.1
9/17/2019,3176.76
9/18/2019,3184.35
9/19/2019,3190.76
9/20/2019,3196.93
9/23/2019,3207.7
9/24/2019,3220.71
9/25/2019,3198.23
9/26/2019,3209.29
9/27/2019,3211.09
9/30/2019,3212.17
10/1/2019,3218.16
10/2/2019,3220.41
10/3/2019,3232.29
10/4/2019,3238.34
10/7/2019,3231.03
10/8/2019,3231.42
10/9/2019,3222.97
10/10/2019,3210.12
10/11/2019,3198.4
10/14/2019,3199.4
10/15/2019,3200.29
10/16/2019,3205.33
10/17/2019,3206.18
10/18/2019,3209.26
10/21/2019,3204.01
10/22/2019,3212.92
10/23/2019,3213.32
10/24/2019,3213.92
10/25/2019,3208.84
10/28/2019,3202.04
10/29/2019,3206.21
10/30/2019,3212.76
10/31/2019,3231.82
11/1/2019,3226.78
11/4/2019,3217.21
11/5/2019,3203.46
11/6/2019,3215.15
11/7/2019,3196.09
11/8/2019,3194.38
11/11/2019,3195.39
11/12/2019,3201.18
11/13/2019,3207.91
11/14/2019,3218.35
11/15/2019,3214.7
11/18/2019,3220.23
11/19/2019,3225.67
11/20/2019,3233.56
11/21/2019,3225.63
11/22/2019,3227.13
11/25/2019,3233.73
11/26/2019,3242.43
11/27/2019,3239.07
11/28/2019,.
11/29/2019,3238.49
11/30/2019,3238.82
12/2/2019,3224.51
12/3/2019,3249.29
12/4/2019,3237.63
12/5/2019,3238
12/6/2019,3233.16
12/9/2019,3238.88
12/10/2019,3240.98
12/11/2019,3250.15
12/12/2019,3230.49
12/13/2019,3251.11
12/16/2019,3240.77
12/17/2019,3243.31
12/18/2019,3239.36
12/19/2019,3244.49
12/20/2019,3244.38
12/23/2019,3241.99
12/24/2019,3247.71
12/25/2019,.
12/26/2019,3249.2
12/27/2019,3257.1
12/30/2019,3253.18
12/31/2019,3249.02
1/1/2020,.
1/2/2020,3256.1
1/3/2020,3272.65
1/6/2020,3263.67
1/7/2020,3258.23
1/8/2020,3247.32
1/9/2020,3256.19
1/10/2020,3267.81
1/13/2020,3264.51
1/14/2020,3269.38
1/15/2020,3276.28
1/16/2020,3274.85
1/17/2020,3273.05
1/20/2020,3274.06
1/21/2020,3289.66
1/22/2020,3293.15
1/23/2020,3297.67
1/24/2020,3308.01
1/27/2020,3316.07
1/28/2020,3307.86
1/29/2020,3320.21
1/30/2020,3322.1
1/31/2020,3326.21
2/3/2020,3327.4
2/4/2020,3312.4
2/5/2020,3307.16
2/6/2020,3313.72
2/7/2020,3328.74
2/10/2020,3334.37
2/11/2020,3327.65
2/12/2020,3321.55
2/13/2020,3325.28
2/14/2020,3332.55
2/17/2020,3333.55
2/18/2020,3340.14
2/19/2020,3337.64
2/20/2020,3344.47
2/21/2020,3353.08
2/24/2020,3363.53
2/25/2020,3365.37
2/26/2020,3365.3
2/27/2020,3352.81
2/28/2020,3368.46
2/29/2020,3369.13
3/2/2020,3370.82
3/3/2020,3386.55
3/4/2020,3394.78
3/5/2020,3403.64
3/6/2020,3431.79
3/9/2020,3381.48
3/10/2020,3323.69
3/11/2020,3289.97
3/12/2020,3219.04
3/13/2020,3187.61
3/16/2020,3186.53
3/17/2020,3102.56
3/18/2020,2985.98
3/19/2020,2935.92
3/20/2020,2912.16
3/23/2020,2925.22
3/24/2020,2953.53
3/25/2020,2999.84
3/26/2020,3049.19
3/27/2020,3078.06
3/30/2020,3105.81
3/31/2020,3117.32
4/1/2020,3122.7
4/2/2020,3121.87
4/3/2020,3126.03
4/6/2020,3119.87
4/7/2020,3133.45
4/8/2020,3147.79
4/9/2020,3203.71
4/10/2020,.
4/13/2020,3232.21
4/14/2020,3250.72
4/15/2020,3269.85
4/16/2020,3279.72
4/17/2020,3272.32
4/20/2020,3273.33
4/21/2020,3274.78
4/22/2020,3265.87
4/23/2020,3276.23
4/24/2020,3279.36
4/27/2020,3267.06
4/28/2020,3278.85
4/29/2020,3280.08
4/30/2020,3281.69
5/1/2020,3275.74
5/4/2020,3270.83
5/5/2020,3267.82
5/6/2020,3251.72
5/7/2020,3266.23
5/8/2020,3247.87
5/11/2020,3232.24
5/12/2020,3246.86
5/13/2020,3255.18
5/14/2020,3263.17
5/15/2020,3263.89
5/18/2020,3258.06
5/19/2020,3278.73
5/20/2020,3300.99
5/21/2020,3308.89
5/22/2020,3315.17
5/25/2020,3316.17
5/26/2020,3314.79
5/27/2020,3322.48
5/28/2020,3321.61
5/29/2020,3338.72
5/31/2020,3339.06
6/1/2020,3337.7
6/2/2020,3342.24
6/3/2020,3342.79
6/4/2020,3338.91
6/5/2020,3350.99
6/8/2020,3366.51
6/9/2020,3374.6
6/10/2020,3385.76
6/11/2020,3386.29
6/12/2020,3375.35
6/15/2020,3372.59
6/16/2020,3388.9
6/17/2020,3395.34
6/18/2020,3402.39
6/19/2020,3404.29
6/22/2020,3403.8
6/23/2020,3401.66
6/24/2020,3399.39
6/25/2020,3399.16
6/26/2020,3406.26
6/29/2020,3404.12
6/30/2020,3406.35
7/1/2020,3409.53
7/2/2020,3421.09
7/3/2020,3421.42
7/6/2020,3428.52
7/7/2020,3440.6
7/8/2020,3440.84
7/9/2020,3455.9
7/10/2020,3449.46
7/13/2020,3451.82
7/14/2020,3459.25
7/15/2020,3460.89
7/16/2020,3469.44
7/17/2020,3468.93
7/20/2020,3477.98
7/21/2020,3488.59
7/22/2020,3497.87
7/23/2020,3506.56
7/24/2020,3505.33
7/27/2020,3500.48
7/28/2020,3504.62
7/29/2020,3502.12
7/30/2020,3511.67
7/31/2020,3513.67
8/3/2020,3508.43
8/4/2020,3523.5
8/5/2020,3522.46
8/6/2020,3529.51
8/7/2020,3525.76
8/10/2020,3524
8/11/2020,3503.37
8/12/2020,3500.44
8/13/2020,3485.13
8/14/2020,3479.09
8/17/2020,3480.91
8/18/2020,3481.59
8/19/2020,3477.86
8/20/2020,3484.62
8/21/2020,3488.16
8/24/2020,3489.65
8/25/2020,3480.44
8/26/2020,3475.28
8/27/2020,3456.27
8/28/2020,3458.65
